date,saptawara,pancawara,wuku
2025-01-01,Buda,Pon,Bala
2025-01-02,Wraspati,Wage,Bala
2025-01-03,Sukra,Kliwon,Bala
2025-01-04,Saniscara,Umanis,Bala
2025-01-05,Redite,Paing,Ugu
2025-01-06,Soma,Pon,Ugu
2025-01-07,Anggara,Wage,Ugu
2025-01-08,Buda,Kliwon,Ugu
2025-01-09,Wraspati,Umanis,Ugu
2025-01-10,Sukra,Paing,Ugu
2025-01-11,Saniscara,Pon,Ugu
2025-01-12,Redite,Wage,Wayang
2025-01-13,Soma,Kliwon,Wayang
2025-01-14,Anggara,Umanis,Wayang
2025-01-15,Buda,Paing,Wayang
2025-01-16,Wraspati,Pon,Wayang
2025-01-17,Sukra,Wage,Wayang
2025-01-18,Saniscara,Kliwon,Wayang
2025-01-19,Redite,Umanis,Kelawu
2025-01-20,Soma,Paing,Kelawu
2025-01-21,Anggara,Pon,Kelawu
2025-01-22,Buda,Wage,Kelawu
2025-01-23,Wraspati,Kliwon,Kelawu
2025-01-24,Sukra,Umanis,Kelawu
2025-01-25,Saniscara,Paing,Kelawu
2025-01-26,Redite,Pon,Dukut
2025-01-27,Soma,Wage,Dukut
2025-01-28,Anggara,Kliwon,Dukut
2025-01-29,Buda,Umanis,Dukut
2025-01-30,Wraspati,Paing,Dukut
2025-01-31,Sukra,Pon,Dukut
2025-02-01,Saniscara,Wage,Dukut
2025-02-02,Redite,Kliwon,Watugunung
2025-02-03,Soma,Umanis,Watugunung
2025-02-04,Anggara,Paing,Watugunung
2025-02-05,Buda,Pon,Watugunung
2025-02-06,Wraspati,Wage,Watugunung
2025-02-07,Sukra,Kliwon,Watugunung
2025-02-08,Saniscara,Umanis,Watugunung
2025-02-09,Redite,Paing,Sinta
2025-02-10,Soma,Pon,Sinta
2025-02-11,Anggara,Wage,Sinta
2025-02-12,Buda,Kliwon,Sinta
2025-02-13,Wraspati,Umanis,Sinta
2025-02-14,Sukra,Paing,Sinta
2025-02-15,Saniscara,Pon,Sinta
2025-02-16,Redite,Wage,Landep
2025-02-17,Soma,Kliwon,Landep
2025-02-18,Anggara,Umanis,Landep
2025-02-19,Buda,Paing,Landep
2025-02-20,Wraspati,Pon,Landep
2025-02-21,Sukra,Wage,Landep
2025-02-22,Saniscara,Kliwon,Landep
2025-02-23,Redite,Umanis,Ukir
2025-02-24,Soma,Paing,Ukir
2025-02-25,Anggara,Pon,Ukir
2025-02-26,Buda,Wage,Ukir
2025-02-27,Wraspati,Kliwon,Ukir
2025-02-28,Sukra,Umanis,Ukir
2025-03-01,Saniscara,Paing,Ukir
2025-03-02,Redite,Pon,Kulantir
2025-03-03,Soma,Wage,Kulantir
2025-03-04,Anggara,Kliwon,Kulantir
2025-03-05,Buda,Umanis,Kulantir
2025-03-06,Wraspati,Paing,Kulantir
2025-03-07,Sukra,Pon,Kulantir
2025-03-08,Saniscara,Wage,Kulantir
2025-03-09,Redite,Kliwon,Taulu
2025-03-10,Soma,Umanis,Taulu
2025-03-11,Anggara,Paing,Taulu
2025-03-12,Buda,Pon,Taulu
2025-03-13,Wraspati,Wage,Taulu
2025-03-14,Sukra,Kliwon,Taulu
2025-03-15,Saniscara,Umanis,Taulu
2025-03-16,Redite,Paing,Gumbreg
2025-03-17,Soma,Pon,Gumbreg
2025-03-18,Anggara,Wage,Gumbreg
2025-03-19,Buda,Kliwon,Gumbreg
2025-03-20,Wraspati,Umanis,Gumbreg
2025-03-21,Sukra,Paing,Gumbreg
2025-03-22,Saniscara,Pon,Gumbreg
2025-03-23,Redite,Wage,Wariga
2025-03-24,Soma,Kliwon,Wariga
2025-03-25,Anggara,Umanis,Wariga
2025-03-26,Buda,Paing,Wariga
2025-03-27,Wraspati,Pon,Wariga
2025-03-28,Sukra,Wage,Wariga
2025-03-29,Saniscara,Kliwon,Wariga
2025-03-30,Redite,Umanis,Warigadian
2025-03-31,Soma,Paing,Warigadian
2025-04-01,Anggara,Pon,Warigadian
2025-04-02,Buda,Wage,Warigadian
2025-04-03,Wraspati,Kliwon,Warigadian
2025-04-04,Sukra,Umanis,Warigadian
2025-04-05,Saniscara,Paing,Warigadian
2025-04-06,Redite,Pon,Julungwangi
2025-04-07,Soma,Wage,Julungwangi
2025-04-08,Anggara,Kliwon,Julungwangi
2025-04-09,Buda,Umanis,Julungwangi
2025-04-10,Wraspati,Paing,Julungwangi
2025-04-11,Sukra,Pon,Julungwangi
2025-04-12,Saniscara,Wage,Julungwangi
2025-04-13,Redite,Kliwon,Sungsang
2025-04-14,Soma,Umanis,Sungsang
2025-04-15,Anggara,Paing,Sungsang
2025-04-16,Buda,Pon,Sungsang
2025-04-17,Wraspati,Wage,Sungsang
2025-04-18,Sukra,Kliwon,Sungsang
2025-04-19,Saniscara,Umanis,Sungsang
2025-04-20,Redite,Paing,Dunggulan
2025-04-21,Soma,Pon,Dunggulan
2025-04-22,Anggara,Wage,Dunggulan
2025-04-23,Buda,Kliwon,Dunggulan
2025-04-24,Wraspati,Umanis,Dunggulan
2025-04-25,Sukra,Paing,Dunggulan
2025-04-26,Saniscara,Pon,Dunggulan
2025-04-27,Redite,Wage,Kuningan
2025-04-28,Soma,Kliwon,Kuningan
2025-04-29,Anggara,Umanis,Kuningan
2025-04-30,Buda,Paing,Kuningan
2025-05-01,Wraspati,Pon,Kuningan
2025-05-02,Sukra,Wage,Kuningan
2025-05-03,Saniscara,Kliwon,Kuningan
2025-05-04,Redite,Umanis,Langkir
2025-05-05,Soma,Paing,Langkir
2025-05-06,Anggara,Pon,Langkir
2025-05-07,Buda,Wage,Langkir
2025-05-08,Wraspati,Kliwon,Langkir
2025-05-09,Sukra,Umanis,Langkir
2025-05-10,Saniscara,Paing,Langkir
2025-05-11,Redite,Pon,Medangsia
2025-05-12,Soma,Wage,Medangsia
2025-05-13,Anggara,Kliwon,Medangsia
2025-05-14,Buda,Umanis,Medangsia
2025-05-15,Wraspati,Paing,Medangsia
2025-05-16,Sukra,Pon,Medangsia
2025-05-17,Saniscara,Wage,Medangsia
2025-05-18,Redite,Kliwon,Pujut
2025-05-19,Soma,Umanis,Pujut
2025-05-20,Anggara,Paing,Pujut
2025-05-21,Buda,Pon,Pujut
2025-05-22,Wraspati,Wage,Pujut
2025-05-23,Sukra,Kliwon,Pujut
2025-05-24,Saniscara,Umanis,Pujut
2025-05-25,Redite,Paing,Pahang
2025-05-26,Soma,Pon,Pahang
2025-05-27,Anggara,Wage,Pahang
2025-05-28,Buda,Kliwon,Pahang
2025-05-29,Wraspati,Umanis,Pahang
2025-05-30,Sukra,Paing,Pahang
2025-05-31,Saniscara,Pon,Pahang
2025-06-01,Redite,Wage,Krulut
2025-06-02,Soma,Kliwon,Krulut
2025-06-03,Anggara,Umanis,Krulut
2025-06-04,Buda,Paing,Krulut
2025-06-05,Wraspati,Pon,Krulut
2025-06-06,Sukra,Wage,Krulut
2025-06-07,Saniscara,Kliwon,Krulut
2025-06-08,Redite,Umanis,Merakih
2025-06-09,Soma,Paing,Merakih
2025-06-10,Anggara,Pon,Merakih
2025-06-11,Buda,Wage,Merakih
2025-06-12,Wraspati,Kliwon,Merakih
2025-06-13,Sukra,Umanis,Merakih
2025-06-14,Saniscara,Paing,Merakih
2025-06-15,Redite,Pon,Tambir
2025-06-16,Soma,Wage,Tambir
2025-06-17,Anggara,Kliwon,Tambir
2025-06-18,Buda,Umanis,Tambir
2025-06-19,Wraspati,Paing,Tambir
2025-06-20,Sukra,Pon,Tambir
2025-06-21,Saniscara,Wage,Tambir
2025-06-22,Redite,Kliwon,Medangkungan
2025-06-23,Soma,Umanis,Medangkungan
2025-06-24,Anggara,Paing,Medangkungan
2025-06-25,Buda,Pon,Medangkungan
2025-06-26,Wraspati,Wage,Medangkungan
2025-06-27,Sukra,Kliwon,Medangkungan
2025-06-28,Saniscara,Umanis,Medangkungan
2025-06-29,Redite,Paing,Matal
2025-06-30,Soma,Pon,Matal
2025-07-01,Anggara,Wage,Matal
2025-07-02,Buda,Kliwon,Matal
2025-07-03,Wraspati,Umanis,Matal
2025-07-04,Sukra,Paing,Matal
2025-07-05,Saniscara,Pon,Matal
2025-07-06,Redite,Wage,Uye
2025-07-07,Soma,Kliwon,Uye
2025-07-08,Anggara,Umanis,Uye
2025-07-09,Buda,Paing,Uye
2025-07-10,Wraspati,Pon,Uye
2025-07-11,Sukra,Wage,Uye
2025-07-12,Saniscara,Kliwon,Uye
2025-07-13,Redite,Umanis,Menail
2025-07-14,Soma,Paing,Menail
2025-07-15,Anggara,Pon,Menail
2025-07-16,Buda,Wage,Menail
2025-07-17,Wraspati,Kliwon,Menail
2025-07-18,Sukra,Umanis,Menail
2025-07-19,Saniscara,Paing,Menail
2025-07-20,Redite,Pon,Parangbakat
2025-07-21,Soma,Wage,Parangbakat
2025-07-22,Anggara,Kliwon,Parangbakat
2025-07-23,Buda,Umanis,Parangbakat
2025-07-24,Wraspati,Paing,Parangbakat
2025-07-25,Sukra,Pon,Parangbakat
